epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.70767,3.46717,4.14405,4.13949,0.00105,0.17727,0.00079,0.00019,3.50415,4.01773,4.12268,0.000648649,0.000648649,0.000648649
2,14.0243,3.00965,3.50378,3.67327,0.00064,0.10455,0.00042,0.00015,3.63621,4.25722,4.24107,0.0013088,0.0013088,0.0013088
3,20.2984,2.87347,3.01462,3.38858,0.10804,0.11364,0.05441,0.01534,2.46754,3.67101,3.30427,0.00196236,0.00196236,0.00196236
4,26.5767,2.80044,2.74845,3.23085,0.55646,0.422,0.36965,0.12496,2.35743,2.1283,3.05082,0.0019703,0.0019703,0.0019703
5,32.8417,2.65183,2.54368,3.09692,0.49852,0.45,0.36531,0.14268,2.34103,2.30598,2.95008,0.0019604,0.0019604,0.0019604
6,39.0872,2.67525,2.43396,3.03838,0.45793,0.31818,0.28446,0.0734,2.5552,2.27396,3.12285,0.0019505,0.0019505,0.0019505
7,45.3675,2.57632,2.33991,2.92705,0.61545,0.43649,0.40556,0.15504,2.27412,2.11001,2.78348,0.0019406,0.0019406,0.0019406
8,51.6018,2.52063,2.27498,2.91114,0.71641,0.44545,0.46798,0.1984,2.07932,1.96283,2.70936,0.0019307,0.0019307,0.0019307
9,58.138,2.45391,2.12317,2.85153,0.65121,0.45828,0.41525,0.184,2.08425,2.0757,2.73522,0.0019208,0.0019208,0.0019208
10,64.39,2.33854,2.07943,2.81647,0.70009,0.44091,0.45253,0.15857,2.15231,1.99386,2.81744,0.0019109,0.0019109,0.0019109
11,70.6778,2.4123,2.13287,2.8083,0.67591,0.47727,0.50127,0.21822,2.04191,1.85177,2.61385,0.001901,0.001901,0.001901
12,76.9555,2.30348,1.95304,2.7472,0.68358,0.45172,0.46016,0.1674,2.11454,1.96445,2.72983,0.0018911,0.0018911,0.0018911
13,83.2119,2.27639,1.93458,2.74552,0.70466,0.47273,0.49332,0.22888,1.99597,1.72989,2.64358,0.0018812,0.0018812,0.0018812
14,89.4845,2.22715,1.83996,2.68791,0.7827,0.44207,0.49253,0.23466,2.00376,1.89227,2.62353,0.0018713,0.0018713,0.0018713
