epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,375.087,1.89528,1.55015,2.05229,0.49336,0.57895,0.56889,0.25869,2.04249,1.48765,2.28194,0.0011882,0.0011882,0.0011882
43,383.873,1.87458,1.50987,2.04111,0.635,0.57895,0.6365,0.26214,2.19584,1.68176,2.34765,0.0011684,0.0011684,0.0011684
44,392.721,1.86004,1.48942,2.03864,0.65192,0.63158,0.69228,0.28898,1.97458,1.5963,2.21683,0.0011486,0.0011486,0.0011486
45,401.645,1.8554,1.49964,1.99489,0.71282,0.47368,0.55866,0.21455,2.20857,1.66567,2.38909,0.0011288,0.0011288,0.0011288
46,410.366,1.83172,1.49078,2.03867,0.64613,0.57895,0.60178,0.25075,2.2217,1.48171,2.48572,0.001109,0.001109,0.001109
47,419.286,1.8588,1.47453,1.99039,0.79127,0.59941,0.65951,0.23674,2.42047,1.5927,2.62278,0.0010892,0.0010892,0.0010892
48,428.293,1.80495,1.42968,1.99201,0.46735,0.69293,0.62036,0.25565,2.22024,1.75746,2.32016,0.0010694,0.0010694,0.0010694
49,437.342,1.77856,1.42018,1.96369,0.59009,0.68421,0.65868,0.26568,2.09534,1.71306,2.29991,0.0010496,0.0010496,0.0010496
50,446.172,1.78929,1.44257,1.98329,0.65161,0.59118,0.63886,0.25544,2.13216,1.51878,2.27854,0.0010298,0.0010298,0.0010298
51,455.131,1.74376,1.40332,1.94815,0.76464,0.57895,0.64007,0.23756,2.41839,1.52932,2.55364,0.00101,0.00101,0.00101
52,464.026,1.76317,1.40474,1.9644,0.72032,0.54299,0.61326,0.22309,2.38682,1.52689,2.57373,0.0009902,0.0009902,0.0009902
53,473.018,1.76607,1.37792,1.90587,0.7976,0.52632,0.63161,0.22915,2.26009,1.50598,2.45317,0.0009704,0.0009704,0.0009704
54,481.955,1.7944,1.41261,1.93609,0.70647,0.52632,0.61371,0.22043,2.30238,1.569,2.40935,0.0009506,0.0009506,0.0009506
55,490.864,1.72148,1.33616,1.89205,0.76778,0.57895,0.62744,0.23434,2.28128,1.64314,2.46668,0.0009308,0.0009308,0.0009308
56,499.635,1.75043,1.36757,1.91246,0.8448,0.57337,0.63221,0.24593,2.31478,1.70562,2.41972,0.000911,0.000911,0.000911
57,508.462,1.70741,1.32602,1.8664,0.60175,0.42105,0.55424,0.26218,2.14178,1.72868,2.34962,0.0008912,0.0008912,0.0008912
58,517.417,1.74574,1.32463,1.90773,0.77611,0.57895,0.59381,0.26078,1.9652,1.67837,2.21527,0.0008714,0.0008714,0.0008714
