epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,270.412,1.72792,1.36535,2.28273,0.97611,0.50909,0.62761,0.37472,1.52508,1.22608,2.12891,0.0015941,0.0015941,0.0015941
43,276.847,1.69714,1.35155,2.23096,0.98427,0.5,0.61123,0.36138,1.55537,1.27793,2.16682,0.0015842,0.0015842,0.0015842
44,283.235,1.70405,1.30018,2.21993,0.91402,0.53182,0.61958,0.33259,1.67905,1.31508,2.26569,0.0015743,0.0015743,0.0015743
45,289.602,1.74156,1.35998,2.24979,0.91921,0.53182,0.60534,0.35012,1.65722,1.25591,2.25758,0.0015644,0.0015644,0.0015644
46,296.027,1.71315,1.3609,2.25056,0.9783,0.53182,0.59795,0.34516,1.61266,1.32481,2.21194,0.0015545,0.0015545,0.0015545
47,302.503,1.70309,1.28183,2.24642,0.8921,0.53182,0.61373,0.30808,1.72039,1.31493,2.37926,0.0015446,0.0015446,0.0015446
48,308.919,1.6668,1.30676,2.21353,0.88216,0.52727,0.59371,0.3607,1.54709,1.34368,2.20358,0.0015347,0.0015347,0.0015347
49,315.571,1.68002,1.33205,2.22116,0.93627,0.53424,0.62428,0.37577,1.56356,1.16301,2.19369,0.0015248,0.0015248,0.0015248
50,321.985,1.68129,1.32418,2.20981,0.92051,0.53636,0.63106,0.38927,1.49137,1.21576,2.14011,0.0015149,0.0015149,0.0015149
51,328.478,1.64115,1.3086,2.16393,0.85906,0.52641,0.58957,0.3455,1.67507,1.31783,2.24984,0.001505,0.001505,0.001505
52,334.901,1.66632,1.32859,2.21327,0.86392,0.53636,0.62876,0.36265,1.55294,1.26428,2.19827,0.0014951,0.0014951,0.0014951
53,341.317,1.69173,1.33092,2.19229,0.94728,0.49008,0.56808,0.35165,1.54533,1.30274,2.16398,0.0014852,0.0014852,0.0014852
54,347.69,1.69363,1.32413,2.2106,0.90319,0.5513,0.63305,0.3839,1.49865,1.17914,2.13805,0.0014753,0.0014753,0.0014753
55,354.097,1.59265,1.24447,2.1262,0.91884,0.51364,0.63127,0.3812,1.50813,1.18316,2.17569,0.0014654,0.0014654,0.0014654
56,360.671,1.61191,1.27666,2.1525,0.94214,0.5181,0.61951,0.38989,1.4706,1.16356,2.14103,0.0014555,0.0014555,0.0014555
57,367.474,1.65052,1.25633,2.17737,0.92512,0.53182,0.61194,0.34253,1.69038,1.2397,2.32545,0.0014456,0.0014456,0.0014456
58,374.308,1.62449,1.28874,2.1511,0.95019,0.5,0.59582,0.39503,1.40476,1.22804,2.08689,0.0014357,0.0014357,0.0014357
59,380.749,1.58676,1.2638,2.10359,0.97468,0.52727,0.6115,0.35289,1.67497,1.22808,2.2005,0.0014258,0.0014258,0.0014258
60,387.142,1.57771,1.2725,2.10686,0.91684,0.51818,0.62638,0.394,1.46914,1.18247,2.06455,0.0014159,0.0014159,0.0014159
61,393.515,1.63175,1.29759,2.13659,0.86088,0.55,0.62281,0.39184,1.47659,1.24339,2.14133,0.001406,0.001406,0.001406
62,400.071,1.577,1.25494,2.12419,0.89949,0.52273,0.63198,0.40543,1.4357,1.15456,2.06753,0.0013961,0.0013961,0.0013961
63,406.677,1.59294,1.26473,2.12841,0.87599,0.54091,0.61969,0.40268,1.4089,1.21242,2.06691,0.0013862,0.0013862,0.0013862
64,413.091,1.54463,1.19379,2.09382,0.90301,0.53182,0.62287,0.37614,1.5267,1.22808,2.16531,0.0013763,0.0013763,0.0013763
65,419.507,1.5203,1.16649,2.0784,0.93899,0.52273,0.6068,0.35455,1.59748,1.21272,2.2889,0.0013664,0.0013664,0.0013664
66,426.007,1.54306,1.20332,2.05764,0.9299,0.54265,0.61649,0.413,1.4069,1.14261,2.01509,0.0013565,0.0013565,0.0013565
67,432.381,1.53944,1.21609,2.05895,0.9216,0.51364,0.61574,0.38524,1.44124,1.16846,2.09845,0.0013466,0.0013466,0.0013466
68,438.692,1.47939,1.13768,1.9981,0.93644,0.53573,0.62311,0.40452,1.45871,1.19937,2.06965,0.0013367,0.0013367,0.0013367
69,445.079,1.49076,1.18015,2.01364,0.93552,0.52727,0.6234,0.40292,1.42051,1.19895,2.04264,0.0013268,0.0013268,0.0013268
70,451.383,1.50207,1.21637,2.03176,0.92226,0.53927,0.63203,0.41057,1.39487,1.12238,2.01358,0.0013169,0.0013169,0.0013169
71,457.709,1.49762,1.18289,2.01696,0.942,0.52273,0.62282,0.38121,1.45976,1.17314,2.08227,0.001307,0.001307,0.001307
72,464.025,1.47973,1.12337,2.0144,0.85301,0.55455,0.62941,0.41311,1.39089,1.11522,2.02303,0.0012971,0.0012971,0.0012971
73,470.47,1.4888,1.17266,2.01066,0.82058,0.56364,0.6479,0.43105,1.34831,1.10832,1.9988,0.0012872,0.0012872,0.0012872
74,477.17,1.48971,1.17952,2.00973,0.9255,0.54091,0.62453,0.4201,1.35281,1.09528,2.00325,0.0012773,0.0012773,0.0012773
75,483.594,1.43819,1.11164,1.96563,0.90518,0.53182,0.61346,0.42363,1.36401,1.11724,1.97383,0.0012674,0.0012674,0.0012674
76,489.975,1.40261,1.08099,1.94596,0.95845,0.53636,0.63222,0.40889,1.44352,1.11161,2.03933,0.0012575,0.0012575,0.0012575
77,496.407,1.434,1.08214,1.97039,0.94601,0.55758,0.63282,0.40717,1.40527,1.12827,2.01012,0.0012476,0.0012476,0.0012476
78,502.841,1.40802,1.08749,1.93625,0.95577,0.49107,0.59875,0.41138,1.34793,1.15796,2.03347,0.0012377,0.0012377,0.0012377
79,509.203,1.38806,1.06773,1.92425,0.95093,0.54091,0.62958,0.39059,1.47096,1.14385,2.12449,0.0012278,0.0012278,0.0012278
80,515.545,1.4236,1.08238,1.94446,0.89949,0.52884,0.6315,0.41666,1.32729,1.10868,1.95908,0.0012179,0.0012179,0.0012179
81,521.877,1.4055,1.09444,1.94542,0.9332,0.53636,0.60702,0.41138,1.42858,1.15695,2.05919,0.001208,0.001208,0.001208
82,528.196,1.38244,1.07056,1.91528,0.95393,0.55455,0.64334,0.41849,1.39028,1.14455,2.01312,0.0011981,0.0011981,0.0011981
83,534.757,1.48213,1.19003,2.00893,0.93826,0.53636,0.63403,0.41443,1.37032,1.09933,2.03855,0.0011882,0.0011882,0.0011882
84,541.041,1.40012,1.11268,1.93013,0.91686,0.55142,0.63851,0.43036,1.34731,1.08812,1.93937,0.0011783,0.0011783,0.0011783
85,547.364,1.44544,1.11131,1.95244,0.95685,0.53636,0.6494,0.43091,1.33336,1.076,1.95039,0.0011684,0.0011684,0.0011684
86,553.69,1.41002,1.09289,1.91522,0.94336,0.51818,0.62878,0.41933,1.34199,1.11666,1.9845,0.0011585,0.0011585,0.0011585
87,560.032,1.38708,1.09929,1.9115,0.88813,0.54128,0.64303,0.42718,1.3703,1.08165,1.96221,0.0011486,0.0011486,0.0011486
88,566.483,1.35221,1.04602,1.89436,0.91173,0.56818,0.65724,0.43903,1.32652,1.07495,1.9569,0.0011387,0.0011387,0.0011387
89,572.877,1.42376,1.13271,1.94181,0.93194,0.52273,0.62415,0.4216,1.34834,1.12413,1.97739,0.0011288,0.0011288,0.0011288
90,579.268,1.35767,1.06712,1.89167,0.95257,0.54771,0.6476,0.42097,1.35364,1.08645,1.95322,0.0011189,0.0011189,0.0011189
91,585.931,1.40376,1.12614,1.90794,0.92225,0.53915,0.64332,0.44243,1.29836,1.08101,1.89682,0.001109,0.001109,0.001109
92,592.329,1.33896,1.05973,1.85661,0.92636,0.51364,0.61477,0.41459,1.37774,1.10425,1.99998,0.0010991,0.0010991,0.0010991
93,598.661,1.32998,1.04462,1.85679,0.94012,0.54545,0.6358,0.42635,1.31461,1.06203,1.93718,0.0010892,0.0010892,0.0010892
94,605.046,1.33279,1.04177,1.86616,0.9144,0.52273,0.63227,0.43311,1.32488,1.10172,1.96002,0.0010793,0.0010793,0.0010793
95,611.493,1.31774,1.03433,1.85532,0.90081,0.55909,0.63484,0.43173,1.34431,1.05354,1.97244,0.0010694,0.0010694,0.0010694
96,617.884,1.35145,1.08638,1.87152,0.92576,0.53636,0.62958,0.42728,1.35306,1.04136,1.95097,0.0010595,0.0010595,0.0010595
97,624.275,1.31257,1.0449,1.83776,0.88861,0.55455,0.62329,0.43059,1.3414,1.0807,1.94917,0.0010496,0.0010496,0.0010496
98,630.652,1.32,1.07231,1.84772,0.89568,0.54636,0.64391,0.42712,1.35009,1.0483,1.98356,0.0010397,0.0010397,0.0010397
99,637.304,1.35053,1.05253,1.88699,0.95634,0.53636,0.64148,0.41413,1.4012,1.05623,2.08571,0.0010298,0.0010298,0.0010298
