epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,582.076,1.74642,1.36484,2.27055,0.95022,0.49545,0.58324,0.33284,1.59411,1.34987,2.26812,0.0011684,0.0011684,0.0011684
44,595.583,1.71828,1.30444,2.24685,0.94778,0.5,0.61608,0.32538,1.70561,1.31665,2.37383,0.0011486,0.0011486,0.0011486
45,609.01,1.75338,1.35772,2.26008,0.8825,0.5121,0.60262,0.33298,1.67793,1.3687,2.25692,0.0011288,0.0011288,0.0011288
46,622.446,1.69177,1.33217,2.21187,0.78019,0.53182,0.58918,0.35406,1.55596,1.3101,2.21371,0.001109,0.001109,0.001109
47,635.806,1.66655,1.30127,2.17353,0.98287,0.52173,0.629,0.3648,1.59153,1.23484,2.21604,0.0010892,0.0010892,0.0010892
48,649.247,1.66869,1.34692,2.21156,0.96657,0.49545,0.60327,0.35754,1.5326,1.28287,2.2057,0.0010694,0.0010694,0.0010694
49,662.686,1.65704,1.33982,2.19645,0.97146,0.51364,0.61208,0.36526,1.55826,1.24408,2.18144,0.0010496,0.0010496,0.0010496
50,676.187,1.71185,1.33634,2.22743,0.9692,0.49545,0.61752,0.34406,1.62775,1.28788,2.29685,0.0010298,0.0010298,0.0010298
51,689.595,1.61111,1.30983,2.17489,0.95595,0.49328,0.60362,0.36749,1.53007,1.22862,2.20933,0.00101,0.00101,0.00101
52,703.083,1.73727,1.37797,2.23645,0.93795,0.54965,0.61835,0.34683,1.57891,1.275,2.25732,0.0009902,0.0009902,0.0009902
53,716.505,1.65115,1.30225,2.17573,0.97361,0.49545,0.60505,0.35689,1.56392,1.26462,2.23192,0.0009704,0.0009704,0.0009704
54,729.954,1.63488,1.27221,2.14761,0.86212,0.54091,0.62559,0.36697,1.60897,1.20908,2.28041,0.0009506,0.0009506,0.0009506
55,743.462,1.58417,1.24878,2.14398,0.97223,0.5,0.60469,0.38596,1.45687,1.23728,2.14949,0.0009308,0.0009308,0.0009308
56,756.941,1.63782,1.34123,2.16284,0.94845,0.48636,0.60767,0.37207,1.47999,1.22607,2.15682,0.000911,0.000911,0.000911
57,770.386,1.67055,1.3062,2.16282,0.90462,0.53182,0.6241,0.37408,1.52474,1.19527,2.17896,0.0008912,0.0008912,0.0008912
58,783.777,1.58822,1.26289,2.11389,0.87456,0.52273,0.61872,0.38561,1.47175,1.17463,2.13325,0.0008714,0.0008714,0.0008714
59,797.271,1.55629,1.24828,2.12235,0.95584,0.50455,0.62078,0.373,1.46329,1.22241,2.15732,0.0008516,0.0008516,0.0008516
60,810.772,1.60901,1.23893,2.12131,0.86803,0.53636,0.63449,0.39077,1.51919,1.19188,2.14529,0.0008318,0.0008318,0.0008318
61,824.128,1.5146,1.23278,2.06778,0.93079,0.52727,0.62601,0.36736,1.57049,1.1626,2.28623,0.000812,0.000812,0.000812
62,837.544,1.65181,1.32192,2.18363,0.98959,0.49545,0.59486,0.35457,1.52148,1.28374,2.22712,0.0007922,0.0007922,0.0007922
63,850.983,1.54678,1.23454,2.09965,0.9142,0.53182,0.63118,0.38593,1.46984,1.17215,2.15182,0.0007724,0.0007724,0.0007724
64,864.462,1.55443,1.19678,2.05284,0.91941,0.52273,0.63017,0.40315,1.42379,1.12513,2.08147,0.0007526,0.0007526,0.0007526
65,877.936,1.51769,1.20577,2.07126,0.98354,0.49545,0.62124,0.3897,1.44476,1.18358,2.12009,0.0007328,0.0007328,0.0007328
66,891.251,1.53925,1.20052,2.10123,0.9334,0.54091,0.63965,0.39656,1.49488,1.1502,2.15455,0.000713,0.000713,0.000713
67,904.615,1.56876,1.24434,2.07244,0.93239,0.53636,0.63592,0.39987,1.4257,1.1819,2.07918,0.0006932,0.0006932,0.0006932
68,918.077,1.52214,1.23413,2.04974,0.89005,0.55,0.64958,0.41731,1.37799,1.12962,2.04295,0.0006734,0.0006734,0.0006734
69,931.495,1.49614,1.16997,2.04648,0.94419,0.53835,0.62034,0.39084,1.45242,1.21433,2.10037,0.0006536,0.0006536,0.0006536
70,944.837,1.47134,1.14811,2.02217,0.939,0.53182,0.63533,0.40341,1.40804,1.09875,2.07007,0.0006338,0.0006338,0.0006338
71,958.361,1.46393,1.17426,2.03561,0.89036,0.56818,0.62999,0.40243,1.40955,1.12823,2.09304,0.000614,0.000614,0.000614
72,971.786,1.46531,1.17349,2.01936,0.93294,0.53182,0.63262,0.39924,1.42064,1.10058,2.07503,0.0005942,0.0005942,0.0005942
73,985.211,1.50275,1.19628,2.01759,0.88544,0.55455,0.64878,0.41039,1.38854,1.10567,2.05766,0.0005744,0.0005744,0.0005744
74,998.616,1.46121,1.14456,2.00084,0.8951,0.53636,0.62045,0.42366,1.35413,1.1382,2.0222,0.0005546,0.0005546,0.0005546
75,1012.01,1.42866,1.10069,1.97435,0.90447,0.56364,0.64973,0.42598,1.35982,1.08988,1.99423,0.0005348,0.0005348,0.0005348
76,1025.36,1.48938,1.18174,2.04234,0.92109,0.55455,0.64678,0.41915,1.38031,1.10176,2.03685,0.000515,0.000515,0.000515
77,1038.74,1.41721,1.11634,1.963,0.91044,0.53182,0.63338,0.39176,1.41524,1.11734,2.08777,0.0004952,0.0004952,0.0004952
78,1052.12,1.42692,1.13944,1.98932,0.95252,0.54091,0.64592,0.42257,1.37705,1.08492,2.02348,0.0004754,0.0004754,0.0004754
79,1065.52,1.44782,1.15669,1.99477,0.98544,0.53636,0.63791,0.42425,1.30961,1.08975,1.96549,0.0004556,0.0004556,0.0004556
80,1078.94,1.41959,1.12977,1.96802,0.89404,0.55,0.63991,0.42133,1.32354,1.08744,1.98077,0.0004358,0.0004358,0.0004358
81,1092.32,1.39133,1.11364,1.92918,0.83234,0.56364,0.64057,0.43553,1.27542,1.0751,1.93165,0.000416,0.000416,0.000416
82,1105.77,1.38258,1.09157,1.92025,0.90351,0.55329,0.65492,0.4218,1.3456,1.08657,2.00829,0.0003962,0.0003962,0.0003962
83,1119.2,1.37935,1.09253,1.92651,0.92527,0.56364,0.65257,0.43009,1.32363,1.07537,1.97682,0.0003764,0.0003764,0.0003764
84,1132.64,1.35061,1.05217,1.89395,0.93138,0.54091,0.64747,0.42086,1.37366,1.05813,2.02777,0.0003566,0.0003566,0.0003566
85,1146.1,1.34067,1.06431,1.8975,0.91599,0.54545,0.64677,0.42076,1.33574,1.07089,1.99815,0.0003368,0.0003368,0.0003368
86,1159.58,1.31162,1.03214,1.85909,0.9179,0.559,0.64934,0.425,1.30314,1.05457,1.9713,0.000317,0.000317,0.000317
87,1173.02,1.31227,1.02264,1.87369,0.8943,0.5769,0.65853,0.42333,1.33744,1.06896,2.00955,0.0002972,0.0002972,0.0002972
88,1186.57,1.35128,1.08987,1.89708,0.94494,0.54603,0.6558,0.43773,1.28551,1.0531,1.90945,0.0002774,0.0002774,0.0002774
89,1200.02,1.33723,1.06941,1.89505,0.86174,0.55455,0.65192,0.43574,1.302,1.04666,1.94325,0.0002576,0.0002576,0.0002576
90,1213.4,1.33331,1.05191,1.88348,0.90925,0.5465,0.65099,0.43476,1.33462,1.06895,1.93408,0.0002378,0.0002378,0.0002378
91,1226.44,1.3147,1.07683,1.93544,0.97406,0.51211,0.63442,0.43663,1.3201,1.07994,1.94249,0.000218,0.000218,0.000218
92,1239.38,1.26919,1.05083,1.87344,0.97463,0.52382,0.63673,0.4432,1.30655,1.07319,1.93172,0.0001982,0.0001982,0.0001982
93,1252.34,1.21068,1.02241,1.83902,0.86254,0.57727,0.64951,0.43917,1.297,1.05762,1.93854,0.0001784,0.0001784,0.0001784
94,1265.29,1.24678,1.01715,1.88529,0.94499,0.54664,0.66595,0.4495,1.28147,1.02497,1.91711,0.0001586,0.0001586,0.0001586
95,1278.3,1.21879,0.97933,1.8392,0.91818,0.5611,0.6662,0.45026,1.26897,1.02275,1.91069,0.0001388,0.0001388,0.0001388
96,1291.23,1.20802,0.99095,1.8096,0.88409,0.57727,0.66092,0.4492,1.26472,1.0232,1.90256,0.000119,0.000119,0.000119
97,1304.11,1.19027,0.98109,1.80504,0.95961,0.53998,0.66119,0.45321,1.27551,1.0306,1.90877,9.92e-05,9.92e-05,9.92e-05
98,1317.19,1.1718,0.9905,1.81087,0.91323,0.57406,0.66256,0.4569,1.25485,1.0283,1.87304,7.94e-05,7.94e-05,7.94e-05
99,1330.12,1.19284,0.95705,1.81695,0.90513,0.57727,0.65902,0.45584,1.24547,1.03847,1.88285,5.96e-05,5.96e-05,5.96e-05
100,1343.2,1.15303,0.95533,1.76592,0.9136,0.57676,0.65398,0.45725,1.2377,1.0371,1.87296,3.98e-05,3.98e-05,3.98e-05
